"","stateresponse1","0","1"
"1","Accomodation",0.863636363636364,0.136363636363636
"2","Arrests",0.594086021505376,0.405913978494624
"3","Beatings",0.390350877192982,0.609649122807018
"4","Crowd Dispersal",0.429849532330216,0.570150467669784
"5","Ignore",0.930996714129244,0.0690032858707558
"6","Killings",0.258064516129032,0.741935483870968
"7","Shootings",0.392361111111111,0.607638888888889
