"","year","stateresponse1","n","prop"
"120",2007,"Accomodation",18,0.0535714285714286
"121",2007,"Arrests",33,0.0982142857142857
"122",2007,"Beatings",15,0.0446428571428571
"123",2007,"Crowd Dispersal",67,0.199404761904762
"124",2007,"Ignore",195,0.580357142857143
"125",2007,"Killings",4,0.0119047619047619
"126",2007,"Shootings",4,0.0119047619047619
"127",2008,"Accomodation",17,0.0613718411552347
"128",2008,"Arrests",25,0.0902527075812274
"129",2008,"Beatings",9,0.0324909747292419
"130",2008,"Crowd Dispersal",62,0.223826714801444
"131",2008,"Ignore",145,0.523465703971119
"132",2008,"Killings",7,0.0252707581227437
"133",2008,"Shootings",10,0.036101083032491
"134",2009,"Accomodation",8,0.0284697508896797
"135",2009,"Arrests",26,0.0925266903914591
"136",2009,"Beatings",14,0.0498220640569395
"137",2009,"Crowd Dispersal",71,0.252669039145907
"138",2009,"Ignore",149,0.530249110320285
"139",2009,"Killings",2,0.00711743772241993
"140",2009,"Shootings",11,0.0391459074733096
"141",2010,"Accomodation",20,0.0606060606060606
"142",2010,"Arrests",30,0.0909090909090909
"143",2010,"Beatings",3,0.00909090909090909
"144",2010,"Crowd Dispersal",91,0.275757575757576
"145",2010,"Ignore",173,0.524242424242424
"146",2010,"Killings",4,0.0121212121212121
"147",2010,"Shootings",9,0.0272727272727273
"148",2011,"Accomodation",34,0.0781609195402299
"149",2011,"Arrests",31,0.071264367816092
"150",2011,"Beatings",4,0.00919540229885057
"151",2011,"Crowd Dispersal",134,0.308045977011494
"152",2011,"Ignore",204,0.468965517241379
"153",2011,"Killings",2,0.00459770114942529
"154",2011,"Shootings",24,0.0551724137931034
"155",2012,"Accomodation",23,0.0603674540682415
"156",2012,"Arrests",31,0.0813648293963255
"157",2012,"Beatings",3,0.0078740157480315
"158",2012,"Crowd Dispersal",112,0.293963254593176
"159",2012,"Ignore",190,0.498687664041995
"160",2012,"Killings",3,0.0078740157480315
"161",2012,"Shootings",18,0.047244094488189
"162",2013,"Accomodation",26,0.0620525059665871
"163",2013,"Arrests",17,0.0405727923627685
"164",2013,"Beatings",3,0.00715990453460621
"165",2013,"Crowd Dispersal",133,0.317422434367542
"166",2013,"Ignore",222,0.529832935560859
"167",2013,"Killings",1,0.00238663484486874
"168",2013,"Shootings",15,0.035799522673031
"169",2014,"Accomodation",25,0.0407830342577488
"170",2014,"Arrests",11,0.0179445350734095
"171",2014,"Beatings",2,0.0032626427406199
"172",2014,"Crowd Dispersal",214,0.34910277324633
"173",2014,"Ignore",345,0.562805872756933
"174",2014,"Killings",4,0.0065252854812398
"175",2014,"Shootings",12,0.0195758564437194
"176",2015,"Accomodation",39,0.0555555555555556
"177",2015,"Arrests",58,0.0826210826210826
"178",2015,"Beatings",4,0.0056980056980057
"179",2015,"Crowd Dispersal",217,0.309116809116809
"180",2015,"Ignore",372,0.52991452991453
"181",2015,"Killings",3,0.00427350427350427
"182",2015,"Shootings",9,0.0128205128205128
"183",2016,"Accomodation",25,0.0505050505050505
"184",2016,"Arrests",38,0.0767676767676768
"185",2016,"Beatings",2,0.00404040404040404
"186",2016,"Crowd Dispersal",81,0.163636363636364
"187",2016,"Ignore",334,0.674747474747475
"188",2016,"Shootings",15,0.0303030303030303
"189",2017,"Accomodation",9,0.026865671641791
"190",2017,"Arrests",26,0.0776119402985075
"191",2017,"Beatings",2,0.00597014925373134
"192",2017,"Crowd Dispersal",54,0.161194029850746
"193",2017,"Ignore",239,0.713432835820896
"194",2017,"Killings",1,0.00298507462686567
"195",2017,"Shootings",4,0.0119402985074627
"196",2018,"Accomodation",2,0.0246913580246914
"197",2018,"Arrests",5,0.0617283950617284
"198",2018,"Crowd Dispersal",16,0.197530864197531
"199",2018,"Ignore",56,0.691358024691358
"200",2018,"Killings",1,0.0123456790123457
"201",2018,"Shootings",1,0.0123456790123457
